الصنف,الافتتاحي,المتبقي
PORTLAND SNOW RC 100x100 ,7570.000000000001,7570.000000000001
RAL 0007500 GREIGE MATT CB SIT-IN6MM 10X20 Matt,5508.0,5508.0
Soft Grey 61x61,5000.440000000001,5000.440000000001
Plaza Bone Rec. 80x80,4951.320000000001,4951.320000000001
Cement Bone 60x120,4860.0,4860.0
ARK IVORY 1  60x120  ,4404.400000000001,4404.400000000001
W RAL 9016 WHITE GLS nR 20x20,4298.0,4298.0
Cement Bone 100x100,4296.0,4296.0
PORTLAND BONE RC 100x100,3940.0,3940.0
PORTLAND GREY RC 60x120 ,3517.92,3517.92
OMBLINE GRIS 60x60 RC (PRC) ,3277.44,3277.44
Beige Marble 30x60,3031.56,3031.56
P.C. ULISSE NATURAL MT 120X280 RECT.,2980.32,2980.32
MELDEN 1. 60x120,2957.04,2957.04
Nordic Ivory Full Lap 1 60x120 ,2926.8,2926.8
Ark Anthracite 60x120 ,2885.76,2885.76
ARK SILVER 1.  60x120,2836.08,2836.08
ARK SILVER 1  100x100   ,2720.0,2720.0
ARK IVORY 1  100x100   ,2704.0,2704.0
Plaza K.gri Rec. 80x80 ,2408.96,2408.96
LT CALACATTA  GOLD SOFT PRC. RC. 60X120 CASPIO,2255.04,2255.04
BIANCO RIVER FULL LAP 60x120,2136.24,2136.24
RAL 0007500 GREIGE GREJ R10B R 20x20 Matt,2095.0,2095.0
KMK Alpes Nuez 20x120,2050.8,2050.8
ARCIDES SMOKE 1. 60x120,2019.6,2019.6
Cali Sand 60x120,1979.0,1979.0
Statuario Blanco 120x120,1958.4,1958.4
Bianco Colorado 80x80,1957.12,1957.12
60 X 60 X 2 SG TRAVERTINE BEIGE EXP.,1926.72,1926.72
 SL ETIENNE WHITE PRC RC 60x120,1916.64,1916.64
SL GOLDONI GRIGIO PRC RC 90x90,1898.64,1898.64
G. CRONOS MARFIL POLISHED 60x120 ,1840.0,1840.0
SL HONTORIA CREAM 120x120,1728.0,1728.0
Diamond Grey 30x60,1719.8,1719.8
Oleron Grey Lapatto 80x80,1719.32,1719.32
STATUARIO ORO SATIN 60X120,1687.68,1687.68
SWIMMING POOL ( NIEVE AZUL CIELO 25254 PVC 1a ) 2.5*2.5,1582.4,1582.4
CRISTAL CREAM PULIDO REC 120x120 ,1568.16,1568.16
CALCATTA GOLDIE FULL LAP 60X120,1520.64,1520.64
Rose Beige Marble 30x60,1466.1,1466.1
Fiction Wallace MT 100x100 cm,1453.0,1453.0
Nehir Grey 120x120,1413.0,1413.0
TIMELESSWOOD TEAK RECTIFICADO 20x120,1406.4,1406.4
Sg Norgay Full Lap 1 60X120,1401.84,1401.84
SWIMMING POOL (NIEVE AZUL CELESTE 25251 PVC 1a ) 2.5*2.5,1397.67,1397.67
P.C. KILIAN WHITE PUL 120X280 RECT,1384.32,1384.32
Nordic Grey Full Lap 1 60x120,1382.56,1382.56
LAGOM GRA 1 60x120,1289.52,1289.52
River Ivory Lappato 60X120,1284.2,1284.2
CEMENTO GREY 1.  60x120,1276.56,1276.56
MARJINAL BEYAZ FULL LAP 1 60x120,1272.24,1272.24
MARTINS MARBLE LIGHT FULL LAP 60X120,1272.24,1272.24
KMK Alpes Haya 20x120 ,1261.2,1261.2
Bianco Colorado 120x120,1255.68,1255.68
MARFIL ROSSO FULL LAP 60X120,1242.0,1242.0
Tessino Ivory Pulido 120x120,1221.12,1221.12
G. CRONOS BLANCO POLISHED 60x120,1220.72,1220.72
P.C. LUMIERE NATURAL PUL. 120X280 RECT ,1212.96,1212.96
P.E HOPE GREY MT RECT 60x120 ,1199.77,1199.77
CARVALLO NOGAL 30X120,1197.0,1197.0
P.E HOPE IVORY MT RECT 100x100,1186.02,1186.02
P.E HOPE WHITE MT RECT 100x100 ,1184.04,1184.04
Statale Greige Mate 60×120 Sl Rc,1157.76,1157.76
ETERNITY WHITE MT 60x120 ,1150.56,1150.56
Dustin Gris Matt 60x120,1139.71,1139.71
Castagna Bianco 20x120,1135.64,1135.64
SL GOLDONI BIANCO PRC RC 90x90,1111.32,1111.32
AMAZON CREAM PL 60x120,1098.72,1098.72
31X46 PURE VIRIDIAN DOT,1096.2,1096.2
Sicilia Marron 33.3x33.3,1082.25,1082.25
SWIMMING POOL ( CEN 1 ),1080.0,1080.0
SL GOLDONI GRIGIO PRC RC 60x120,1077.12,1077.12
Norwich White Mate 120×120 SL RC,1072.8,1072.8
LT ROMA CREAM SOFT 60x120,1056.96,1056.96
MAJESTIC CREAM SILKY 60x120,1054.08,1054.08
CLASSIC Travertine - AMERICAN SIZE 40.6x61 CM,1049.37,1049.37
Mono z Mutt Ivory 60x60,1042.2,1042.2
KAMALA NOIR 40x60x1.2 ,1018.8,1018.8
CONQUES PIEDRA 40x60x1.2 ,1002.06,1002.06
BELLVER GREY MT 90x90,1001.16,1001.16
Amazon Grey 30.5x15.2x3cm,999.9906400000001,999.9906400000001
CONQUES NOIR 40x60x1.2  ,992.94,992.94
KAMALA SAND 40x60x1.2  ,985.2,985.2
SWIMMING POOL (NIEVE VERDE 25357 PVC 1a ) 2.5*2.5,983.58,983.58
Tessino Smoke Natural 120x120,983.5200000000001,983.5200000000001
CONCEPT GRAPHITE SILK 60x120,980.6400000000001,980.6400000000001
CRISTAL CREAM PULIDO REC 60x120,977.7600000000001,977.7600000000001
NEOCEM CREAM RECTIFICADO 60x120 ,977.7600000000001,977.7600000000001
TOGA TAUPE RECTIFICADO 60x120 ,977.7600000000001,977.7600000000001
STATUARIO ORO Pulido 60X120,974.8800000000001,974.8800000000001
31X46 PURE COBALT DOT,972.3700000000001,972.3700000000001
ROMA WHITE SOFT 60X120,972.0000000000001,972.0000000000001
Tessino Ivory Natural 60x120,968.1200000000001,968.1200000000001
Pietra Antica Crema 80x160,967.6800000000001,967.6800000000001
Tessino Smoke Pulido 120x120,963.3600000000001,963.3600000000001
Acron Ivory 60x120 SL,961.9200000000001,961.9200000000001
Classic Travertine 33x61- 3CM,952.6100000000001,952.6100000000001
CAPRI DARK MATT 60X60,940.32,940.32
Xtreme-SuperCol-C2TES2,923.0000000000001,923.0000000000001
Pietra Grey MT 120x120,897.1200000000001,897.1200000000001
Statuario Blanco Silk 60x120,897.1200000000001,897.1200000000001
Bianco Colorado 60x60,894.2400000000001,894.2400000000001
Rohe Warm Mat Slipstop 60x60x2,889.9200000000001,889.9200000000001
Oleron Grey Lapatto 80x160,885.7600000000001,885.7600000000001
Pietra Serena Light 60x60,876.96,876.96
Cenere Sugar Lappato 60X120,870.48,870.48
PARADISE TAUPE PL(PRC)60X120 RC STD,869.7600000000001,869.7600000000001
Basalt Pattern,853.58,853.58
CONCRETE CENIZA SOFT 60x120,852.48,852.48
Xtreme Fiber Gel S2,847.0000000000001,847.0000000000001
Xtreme XtraCol C2TE,844.0000000000001,844.0000000000001
P.C. PUL. YANIK WHITE 120X280 RECT,836.6400000000001,836.6400000000001
Tessino Smoke Natural 60x120,833.7600000000001,833.7600000000001
Xtreme-SuperCol-C2TES1,806.0000000000001,806.0000000000001
Leveling Spacer 2 mm (200PCS/BAG),800.0000000000001,800.0000000000001
POLARIS CREAM SOFT RC 100x100,798.0000000000001,798.0000000000001
Balbi Gris Silk 60x120,793.44,793.44
AMAZON CREAM PL 120X120,789.1200000000001,789.1200000000001
Germa - C2TE متين,787.0000000000001,787.0000000000001
Patagonia Pulido 120x120,786.24,786.24
Tessino Ivory Pulido 60x120,777.6,777.6
Statale Sand Mate 60×120 Sl Rc N-Plus,771.84,771.84
Penta Arrecife Iridis Emerald 5x5,770.2600000000001,770.2600000000001
Pietra Antica Cenere 80x80,769.2800000000001,769.2800000000001
Led Grey Skirting 1.2x10x60 cm,759.0000000000001,759.0000000000001
Xtreme XtraCol C1TE,757.0000000000001,757.0000000000001
Cortile Silver Lappato 60X120,753.84,753.84
TOGA GREY RECTIFICADO 60x120 ,747.36,747.36
Objecta White MT 30X60,745.2,745.2
5X5 PENTA CRYSTAL COBALT,740.8800000000001,740.8800000000001
Lidya Rose 30x60,731.94,731.94
Great Calcatta Face Random 160x320,721.9200000000001,721.9200000000001
Montana Natural 20x120,721.44,721.44
Xtreme Fiber Gel S1,720.0000000000001,720.0000000000001
MAYA LAPPATO 1 60x120,712.8000000000001,712.8000000000001
CAPRAIA GOLD PULIDO 120x120,708.48,708.48
Castle Travertine Chocolate 31.6x45,696.0000000000001,696.0000000000001
TOGA BLACK RECTIFICADO 60x120  ,689.7600000000001,689.7600000000001
Stantio Light 60X120,677.5400000000001,677.5400000000001
Limestone 30x60,677.5200000000001,677.5200000000001
Merida Grey Mate 60×60 Sl Antislip,659.5200000000001,659.5200000000001
Penta Los Blue 5x5,646.7800000000001,646.7800000000001
Calcatta Oro Face Random 160x320 6mm,645.12,645.12
Porc Rect Baltique Wengue 25x150,640.71,640.71
Penta Savu 5x5,638.94,638.94
PARADISE IVORY PL(PRC) 60X120 RC STD,626.4000000000001,626.4000000000001
Silver Travertine French Pattern,617.62,617.62
Rustic French Travertine,612.892,612.892
Intersio 60X120,609.12,609.12
LUZ SOLE FULL LAP 1 60x120,604.8000000000001,604.8000000000001
SUITE FRAME NG 30*90.2,600.48,600.48
Rival Ivory Full Lap 60X120,595.48,595.48
Travertine Light 30x40,594.72,594.72
GLASTONBURY SAVIA RECT 80x160,588.8000000000001,588.8000000000001
Germa - C1TE متين,585.0,585.0
SABI GRAFITE RECT 75X75,578.5600000000001,578.5600000000001
PENTA NAVAGIO LUMINIS 5x5,568.33,568.33
P.C. 3DB BALNEA PEARL MT 120X280,567.84,567.84
CALACATTA FULL LAP 1. 60x120,561.6,561.6
P.C. KRETA PEARL MT 120X280 RECT,561.12,561.12
Artic White 120x120,555.84,555.84
Caserna Grey MT 60x60 ,552.96,552.96
PULPIS GREY FULL LAP 1. 60x120 ,540.0,540.0
Swimming Pool Cenefa 12 Verde,540.0,540.0
